l_year,l_avg_temp,Alexandria,g_avg_temp,Global temp,
1791,22.6,,8.23,,
1792,20.17,,8.09,,
1793,19.94,,8.23,,
1794,20.31,,8.53,,
1795,20.22,,8.35,,
1796,20.39,,8.27,,
1797,20.48,,8.51,,
1798,20.67,,8.67,,
1799,20.66,,8.51,,
1800,20.52,20.596,8.48,8.387,
1801,20.83,20.419,8.59,8.423,
1802,20.94,20.496,8.58,8.472,
1803,20.94,20.596,8.5,8.499,
1804,20.7,20.635,8.84,8.53,
1805,20.35,20.648,8.56,8.551,
1806,20.4,20.649,8.43,8.567,
1807,20.36,20.637,8.28,8.544,
1808,19.69,20.539,7.63,8.44,
1809,19.03,20.376,7.08,8.297,
1810,19.12,20.236,6.92,8.141,
1811,19.19,20.072,6.86,7.968,
1812,19.02,19.88,7.05,7.815,
1813,19.55,19.741,7.74,7.739,
1814,19.5,19.621,7.59,7.614,
1815,19.39,19.525,7.24,7.482,
1816,18.91,19.376,6.94,7.333,
1817,19.08,19.248,6.98,7.203,
1818,19.9,19.269,7.83,7.223,
1819,19.44,19.31,7.37,7.252,
1820,19.73,19.371,7.62,7.322,
1821,19.69,19.421,8.09,7.445,
1822,19.8,19.499,8.19,7.559,
1823,19.82,19.526,7.72,7.557,
1824,20.52,19.628,8.55,7.653,
1825,20.03,19.692,8.39,7.768,
1826,19.96,19.797,8.36,7.91,
1827,20.7,19.959,8.81,8.093,
1828,20.08,19.977,8.17,8.127,
1829,19.98,20.031,7.94,8.184,
1830,20.32,20.09,8.52,8.274,
1831,19.61,20.082,7.64,8.229,
1832,19.23,20.025,7.45,8.155,
1833,19.89,20.032,8.01,8.184,
1834,19.74,19.954,8.15,8.144,
1835,19.23,19.874,7.39,8.044,
1836,19.67,19.845,7.7,7.978,
1837,19.29,19.704,7.38,7.835,
1838,19.3,19.626,7.51,7.769,
1839,19.52,19.58,7.63,7.738,
1840,19.65,19.513,7.8,7.666,
1841,20.08,19.56,7.69,7.671,
1842,19.92,19.629,8.02,7.728,
1843,19.91,19.631,8.17,7.744,
1844,19.77,19.634,7.65,7.694,
1845,20.05,19.716,7.85,7.74,
1846,20.67,19.816,8.55,7.825,
1847,20.17,19.904,8.09,7.896,
1848,20,19.974,7.98,7.943,
1849,20,20.022,7.98,7.978,
1850,19.45,20.002,7.9,7.988,
1851,20.21,20.015,8.18,8.037,
1852,20.13,20.036,8.1,8.045,
1853,20.75,20.12,8.04,8.032,
1854,19.75,20.118,8.21,8.088,
1855,20.18,20.131,8.11,8.114,
1856,19.61,20.025,8,8.059,
1857,19.33,19.941,7.76,8.026,
1858,19.88,19.929,8.1,8.038,
1859,20.04,19.933,8.25,8.065,
1860,20.49,20.037,7.96,8.071,
1861,19.39,19.955,7.85,8.038,
1862,19.43,19.885,7.56,7.984,
1863,19.8,19.79,8.11,7.991,
1864,20.29,19.844,7.98,7.968,
1865,20.59,19.885,8.18,7.975,
1866,20.43,19.967,8.29,8.004,
1867,20.41,20.075,8.44,8.072,
1868,20.03,20.09,8.25,8.087,
1869,20.55,20.141,8.43,8.105,
1870,20.44,20.136,8.2,8.129,
1871,20.05,20.202,8.12,8.156,
1872,20.37,20.296,8.19,8.219,
1873,20.56,20.372,8.35,8.243,
1874,19.81,20.324,8.43,8.288,
1875,19.13,20.178,7.86,8.256,
1876,20.18,20.153,8.08,8.235,
1877,20.36,20.148,8.54,8.245,
1878,20.4,20.185,8.83,8.303,
1879,20.56,20.186,8.17,8.277,
1880,20.16,20.158,8.12,8.269,
1881,20.45,20.198,8.27,8.284,
1882,19.29,20.09,8.13,8.278,
1883,19.78,20.012,7.98,8.241,
1884,19.34,19.965,7.77,8.175,
1885,20.12,20.064,7.92,8.181,
1886,19.76,20.022,7.95,8.168,
1887,20.34,20.02,7.91,8.105,
1888,20.04,19.984,8.09,8.031,
1889,20.1,19.938,8.32,8.046,
1890,20.11,19.933,7.97,8.031,
1891,20.09,19.897,8.02,8.006,
1892,20.42,20.01,8.07,8,
1893,19.66,19.998,8.06,8.008,
1894,19.99,20.063,8.16,8.047,
1895,20.14,20.065,8.15,8.07,
1896,20.17,20.106,8.21,8.096,
1897,19.85,20.057,8.29,8.134,
1898,20.13,20.066,8.18,8.143,
1899,20.18,20.074,8.4,8.151,
1900,20.73,20.136,8.5,8.204,
1901,20.89,20.216,8.54,8.256,
1902,20.41,20.215,8.3,8.279,
1903,19.59,20.208,8.22,8.295,
1904,19.78,20.187,8.09,8.288,
1905,19.9,20.163,8.23,8.296,
1906,20.15,20.161,8.38,8.313,
1907,19.47,20.123,7.95,8.279,
1908,19.4,20.05,8.19,8.28,
1909,20.4,20.072,8.18,8.258,
1910,19.62,19.961,8.22,8.23,
1911,19.73,19.845,8.18,8.194,
1912,19.89,19.793,8.17,8.181,
1913,19.65,19.799,8.3,8.189,
1914,19.92,19.813,8.59,8.239,
1915,20.64,19.887,8.59,8.275,
1916,20.86,19.958,8.23,8.26,
1917,20.25,20.036,8.02,8.267,
1918,20.58,20.154,8.13,8.261,
1919,20.38,20.152,8.38,8.281,
1920,19.92,20.182,8.36,8.295,
1921,19.97,20.206,8.57,8.334,
1922,20.61,20.278,8.41,8.358,
1923,20.66,20.379,8.42,8.37,
1924,20.82,20.469,8.51,8.362,
1925,20.48,20.453,8.53,8.356,
1926,20.47,20.414,8.73,8.406,
1927,20.96,20.485,8.52,8.456,
1928,20.8,20.507,8.63,8.506,
1929,20.21,20.49,8.24,8.492,
1930,20.81,20.579,8.63,8.519,
1931,20.69,20.651,8.72,8.534,
1932,20.55,20.645,8.71,8.564,
1933,20.07,20.586,8.34,8.556,
1934,20.53,20.557,8.63,8.568,
1935,20.68,20.577,8.52,8.567,
1936,20.94,20.624,8.55,8.549,
1937,20.96,20.624,8.7,8.567,
1938,20.12,20.556,8.86,8.59,
1939,20.95,20.63,8.76,8.642,
1940,20.56,20.605,8.76,8.655,
1941,20.88,20.624,8.77,8.66,
1942,20.61,20.63,8.73,8.662,
